user_id,device_trust_score,location_risk,time_of_access,failed_attempts,resource_sensitivity,vpn_active,patch_level,auth_method,anomaly_score,decision,decision_binary
USER_00103,0.7021641493532051,medium,22,0,1,True,66,password,0.2294,DENY,1
USER_00436,0.876160941245064,low,7,2,1,False,21,MFA,0.1343,ALLOW,0
USER_00349,0.5267832671119539,low,21,1,3,False,41,password,0.2084,ALLOW,0
USER_00271,0.4989512538226041,medium,15,1,2,True,2,biometric,0.3542,ALLOW,0
USER_00107,0.9165517629950877,low,8,1,4,True,0,password,0.1504,ALLOW,0
USER_00072,0.7626370728674405,low,21,1,4,True,2,MFA,0.1446,ALLOW,0
USER_00189,0.7739466596718503,medium,9,0,4,False,7,MFA,0.1716,ALLOW,0
USER_00021,0.8068299330571497,low,12,1,1,False,0,MFA,0.1169,ALLOW,0
USER_00103,0.5511732492559995,high,4,0,4,True,15,password,0.3883,DENY,1
USER_00122,0.7519579021296536,low,18,2,4,True,0,biometric,0.1231,ALLOW,0
USER_00467,0.7190845477384008,medium,14,0,3,True,4,password,0.2665,ALLOW,0
USER_00215,0.9010936646796539,low,8,0,4,True,0,biometric,0.0566,ALLOW,0
USER_00331,0.6818942289045624,medium,13,1,5,False,19,MFA,0.2474,ALLOW,0
USER_00459,0.7108508848864067,low,13,1,2,True,2,MFA,0.1294,ALLOW,0
USER_00088,0.6103864225536508,low,12,3,3,False,3,password,0.2073,ALLOW,0
USER_00373,0.9256223167416698,low,12,2,2,True,8,biometric,0.1205,ALLOW,0
USER_00100,0.7994891679283738,medium,15,2,1,True,4,password,0.2251,ALLOW,0
USER_00360,0.6546937763005195,medium,21,1,5,True,64,MFA,0.3346,ALLOW,0
USER_00152,0.4988721987992027,low,12,2,2,False,3,biometric,0.2292,ALLOW,0
USER_00131,0.5430410164927757,low,12,3,3,False,9,password,0.2941,ALLOW,0
USER_00150,0.5612055381696947,medium,12,1,5,True,44,MFA,0.3389,ALLOW,0
USER_00309,0.7093230104797792,low,15,0,5,False,5,password,0.1206,ALLOW,0
USER_00258,0.8323029002816995,low,7,1,3,True,16,password,0.1357,ALLOW,0
USER_00344,0.8850440442334178,medium,5,2,3,True,0,MFA,0.2166,ALLOW,0
USER_00492,0.5788701856641338,high,19,4,3,False,11,MFA,0.4499,DENY,1
USER_00414,0.8039441343020391,high,19,1,4,True,26,biometric,0.3338,ALLOW,0
USER_00294,0.9674003444805773,low,14,5,2,True,17,MFA,0.0997,ALLOW,0
USER_00386,0.5611801323702694,medium,17,0,4,True,8,password,0.2355,DENY,1
USER_00192,0.8109523437104107,medium,0,3,3,True,31,MFA,0.2624,ALLOW,0
USER_00444,0.6082629599486665,high,19,1,4,False,0,MFA,0.4202,DENY,1
USER_00277,0.6569846893481858,low,5,1,3,False,27,password,0.1959,ALLOW,0
USER_00161,0.5963376670844331,medium,23,1,1,False,11,password,0.327,ALLOW,0
USER_00460,0.5235686668621492,high,4,3,3,True,19,MFA,0.4645,DENY,1
USER_00314,0.7816973991176991,low,15,0,5,True,44,password,0.1707,ALLOW,0
USER_00022,0.9196654804937148,low,21,0,5,True,8,password,0.1395,ALLOW,0
USER_00253,0.5170976628870917,low,16,4,1,False,3,password,0.2291,DENY,1
USER_00236,0.47373692982224846,low,10,1,4,False,13,password,0.2593,ALLOW,0
USER_00345,0.8702411553936714,low,0,2,4,True,2,MFA,0.1089,ALLOW,0
USER_00049,0.5659483425847506,low,8,1,3,True,9,MFA,0.2275,ALLOW,0
